iter	Passed	Remaining
354	449	817
355	450	815
356	451	813
357	452	811
358	453	809
359	454	807
360	454	805
361	455	803
362	456	801
363	457	799
364	458	797
365	459	795
366	459	793
367	460	790
368	461	788
369	462	786
370	463	785
371	464	783
372	465	781
373	465	779
374	466	778
375	467	776
376	468	774
377	469	772
378	470	770
379	471	768
380	472	766
381	472	765
382	473	763
383	474	761
384	475	759
385	476	757
386	476	755
387	477	753
388	478	752
389	479	750
390	480	748
391	481	746
392	482	744
393	483	743
394	483	741
395	484	739
396	485	737
397	486	735
398	486	733
399	487	731
400	488	729
401	489	728
402	490	726
403	490	724
404	491	722
405	492	720
406	493	718
407	493	716
408	494	715
409	495	713
410	496	711
411	497	710
412	498	708
413	499	706
414	500	705
415	501	703
416	501	701
417	502	700
418	503	698
419	504	696
420	505	694
421	505	692
422	506	691
423	507	689
424	508	687
425	509	686
426	510	685
427	511	683
428	512	681
429	513	680
430	513	678
431	514	676
432	515	675
433	516	673
434	517	672
435	518	670
436	518	668
437	519	666
438	520	664
439	521	663
440	522	661
441	523	660
442	523	658
443	524	656
444	525	655
445	526	653
446	527	652
447	528	651
448	529	649
449	530	647
450	530	646
451	531	644
452	532	642
453	533	641
454	534	639
455	534	638
456	535	636
457	536	634
458	537	633
459	537	631
460	538	629
461	539	628
462	540	626
463	541	625
464	542	623
465	543	622
466	543	620
467	544	619
468	545	617
469	546	616
470	547	614
471	548	613
472	548	611
473	549	609
474	550	608
475	551	606
476	551	604
477	552	603
478	553	601
479	554	600
480	554	598
481	555	597
482	556	595
483	557	594
484	558	592
485	559	591
486	560	589
487	560	588
488	561	586
489	562	585
490	563	583
491	563	582
492	564	580
493	565	579
494	566	577
495	567	576
496	568	574
497	568	573
498	569	571
499	570	570
500	571	569
501	572	567
502	573	566
503	574	564
504	574	563
505	575	562
506	576	560
507	577	559
508	578	557
509	579	556
510	579	554
511	580	553
512	581	551
513	582	550
514	582	548
515	583	547
516	584	546
517	585	544
518	586	543
519	587	541
520	587	540
521	588	539
522	589	537
523	590	536
524	591	535
525	592	533
526	593	532
527	593	530
528	594	529
529	595	527
530	596	526
531	596	524
532	597	523
533	598	522
534	599	520
535	600	519
536	600	517
537	601	516
538	602	515
539	603	514
540	604	512
541	605	511
542	606	510
543	607	508
544	608	507
545	608	506
546	609	504
547	610	503
548	611	502
549	612	500
550	613	499
551	613	498
552	614	496
553	615	495
554	616	494
555	616	492
556	617	491
557	618	490
558	619	488
559	620	487
560	621	486
561	621	484
562	622	483
563	623	481
564	624	480
565	625	479
566	626	478
567	626	476
568	627	475
569	628	473
570	628	472
571	629	471
572	630	469
573	631	468
574	632	467
575	633	466
576	634	464
577	634	463
578	635	462
579	636	460
580	637	459
581	638	458
582	639	457
583	639	455
584	640	454
585	641	453
586	642	451
587	643	450
588	643	449
589	644	447
590	645	446
591	646	445
592	646	444
593	647	442
594	648	441
595	649	440
596	650	439
597	651	437
598	652	436
599	653	435
600	653	434
601	654	432
602	655	431
603	656	430
604	657	429
605	657	427
606	658	426
607	659	425
608	660	424
609	661	422
610	662	421
611	662	420
612	663	418
613	664	417
614	665	416
615	666	415
616	666	414
617	667	412
618	668	411
619	669	410
620	670	409
621	671	407
622	672	406
623	673	405
624	674	404
625	674	403
626	675	402
627	676	400
628	677	399
629	678	398
630	679	397
631	680	396
632	681	394
633	682	393
634	683	392
635	684	391
636	685	390
637	686	389
638	686	388
639	687	386
640	688	385
641	689	384
642	690	383
643	691	382
644	692	380
645	692	379
646	693	378
647	694	377
648	695	376
649	696	375
650	697	373
651	698	372
652	698	371
653	699	370
654	700	369
655	701	367
656	702	366
657	703	365
658	703	364
659	704	362
660	705	361
661	706	360
662	706	359
663	707	358
664	708	356
665	709	355
666	709	354
667	711	353
668	711	352
669	712	350
670	713	349
671	714	348
672	715	347
673	715	346
674	716	345
675	717	343
676	718	342
677	719	341
678	720	340
679	720	339
680	721	338
681	722	336
682	723	335
683	723	334
684	724	333
685	725	332
686	726	331
687	727	329
688	728	328
689	729	327
690	730	326
691	730	325
692	731	324
693	732	323
694	733	321
695	734	320
696	735	319
697	735	318
698	736	317
699	737	316
700	738	314
701	738	313
702	739	312
703	740	311
704	741	310
705	742	309
706	743	307
707	743	306
708	744	305
709	745	304
710	746	303
711	747	302
712	747	301
713	748	299
714	749	298
715	750	297
716	751	296
717	751	295
718	752	294
719	753	293
720	754	291
721	754	290
722	755	289
723	756	288
724	757	287
725	758	286
726	759	285
727	760	284
728	761	283
729	762	281
730	763	280
731	763	279
732	764	278
733	765	277
734	766	276
735	766	275
736	767	273
737	768	272
738	769	271
739	769	270
740	770	269
741	771	268
742	772	267
743	773	266
744	774	264
745	774	263
746	775	262
747	776	261
748	777	260
749	778	259
750	779	258
751	779	257
752	780	256
753	781	254
754	782	253
755	782	252
756	783	251
757	784	250
758	785	249
759	785	248
760	786	247
761	787	246
762	788	244
763	789	243
764	790	242
765	790	241
766	791	240
767	792	239
768	793	238
769	794	237
770	794	236
771	795	234
772	796	233
773	797	232
774	798	231
775	798	230
776	799	229
777	800	228
778	801	227
779	802	226
780	803	225
781	803	224
782	804	223
783	805	221
784	806	220
785	807	219
786	807	218
787	808	217
788	809	216
789	810	215
790	811	214
791	811	213
792	812	212
793	813	210
794	813	209
795	814	208
796	815	207
797	816	206
798	817	205
799	818	204
800	819	203
801	820	202
802	820	201
803	821	200
804	822	199
805	823	198
806	824	197
807	824	196
808	825	194
809	826	193
810	827	192
811	827	191
812	828	190
813	829	189
814	830	188
815	831	187
816	832	186
817	833	185
818	833	184
819	834	183
820	835	182
821	836	181
822	837	180
823	838	179
824	839	178
825	840	176
826	840	175
827	841	174
828	842	173
829	843	172
830	843	171
831	844	170
832	845	169
833	846	168
834	846	167
835	847	166
836	848	165
837	849	164
838	850	163
839	850	162
840	851	161
841	852	159
842	853	158
843	854	157
844	855	156
845	855	155
846	856	154
847	857	153
848	858	152
849	859	151
850	860	150
851	860	149
852	861	148
853	862	147
854	862	146
855	863	145
856	864	144
857	865	143
858	866	142
859	867	141
860	867	140
861	868	139
862	869	138
863	870	137
864	871	135
865	872	134
866	872	133
867	873	132
868	874	131
869	875	130
870	876	129
871	876	128
872	877	127
873	878	126
874	878	125
875	879	124
876	880	123
877	881	122
878	882	121
879	883	120
880	883	119
881	884	118
882	885	117
883	886	116
884	887	115
885	887	114
886	888	113
887	889	112
888	890	111
889	891	110
890	891	109
891	892	108
892	893	107
893	893	105
894	894	104
895	895	103
896	896	102
897	897	101
898	898	100
899	898	99
900	899	98
901	900	97
902	901	96
903	901	95
904	902	94
905	903	93
906	904	92
907	904	91
908	905	90
909	906	89
910	907	88
911	907	87
912	908	86
913	909	85
914	910	84
915	911	83
916	912	82
917	913	81
918	914	80
919	915	79
920	915	78
921	916	77
922	917	76
923	918	75
924	919	74
925	920	73
926	921	72
927	921	71
928	922	70
929	923	69
930	924	68
931	925	67
932	926	66
933	927	65
934	928	64
935	929	63
936	930	62
937	931	61
938	932	60
939	933	59
940	934	58
941	935	57
942	935	56
943	936	55
944	937	54
945	938	53
946	939	52
947	940	51
948	941	50
949	942	49
950	943	48
951	944	47
952	944	46
953	945	45
954	946	44
955	947	43
956	948	42
957	949	41
958	950	40
959	951	39
960	951	38
961	952	37
962	953	36
963	954	35
964	954	34
965	955	33
966	956	32
967	956	31
968	957	30
969	958	29
970	959	28
971	960	27
972	961	26
973	962	25
974	962	24
975	963	23
976	964	22
977	965	21
978	965	20
979	966	19
980	967	18
981	968	17
982	968	16
983	969	15
984	970	14
985	971	13
986	972	12
987	972	11
988	973	10
989	974	9
990	975	8
991	976	7
992	977	6
993	977	5
994	978	4
995	979	3
996	980	2
997	981	1
998	982	0
999	983	0
